time,ElementInt_c,_dt,grain_tracker,num_precipitates,precipitate_area,strain_e11_aux,strain_e12_aux,strain_e22_aux,stress_s11_aux,stress_s12_aux,stress_s22_aux
60.453125,99046400.023145,0.3796875,36,1,16384,56.863742617497,-2.4135949262467,12.001787335378,-730733.47177954,-4.8271898524934,-730823.19569011
60.8328125,99668480.022983,0.3796875,36,1,16384,57.568967125222,-2.4427066861851,12.145987942048,-739941.36278406,-4.8854133723702,-740032.20874242
61.2125,100290560.02271,0.3796875,36,1,16384,58.271309200229,-2.4710940061568,12.28663900004,-749206.93102279,-4.9421880123135,-749298.90036319
61.5921875,100912640.02236,0.3796875,36,1,16384,58.963308277187,-2.4975632202688,12.419271993143,-758530.20334643,-4.9951264405377,-758623.291419
61.971875,101534720.02224,0.3796875,36,1,16384,119.87516419851,-4.5942061301494,12.258222615672,-767730.77482438,-9.1884122602987,-767946.00870755
62.3515625,102156800.02259,0.3796875,36,1,16384,122.038913822,-4.8621388881637,12.657061355319,-777164.6957794,-9.7242777763274,-777383.45948433
62.73125,102778880.02273,0.3796875,36,1,16384,61.240565684797,-2.4687674685584,12.993620220613,-786845.23034331,-4.9375349371167,-786941.72423424
63.1109375,103400960.02321,0.3796875,36,1,16384,62.030167874663,-2.5518426447761,13.149787261456,-796398.84649259,-5.1036852895521,-796496.60725381
63.490625,104023040.02281,0.3796875,36,1,16384,62.806695552711,-2.6107607426045,13.298504263539,-806010.17434084,-5.2215214852089,-806109.19072341
63.8703125,104645120.02257,0.3796875,36,1,16384,63.535355063987,-2.6645329596102,13.460825849291,-815679.29723049,-5.3290659192205,-815779.44628892
64.25,105267200.02255,0.3796875,36,1,16384,64.289066015041,-2.7062327914176,13.614262452463,-825406.01889326,-5.4124655828353,-825507.36850038
64.6296875,105889280.02277,0.3796875,36,1,16384,65.047560577552,-2.7445779164261,13.769545024393,-835190.38940203,-5.4891558328522,-835292.94543313
65.009375,106511360.0226,0.3796875,36,1,16384,65.811049412612,-2.7811131104654,13.926803644144,-845032.40798496,-5.5622262209308,-845136.1764765
65.3890625,107133440.02261,0.3796875,36,1,16384,66.579516637781,-2.8166397310358,14.085904459685,-854932.07483241,-5.6332794620717,-855037.06205677
65.76875,107755520.02271,0.3796875,36,1,16384,67.352875088575,-2.8515930307301,14.246662861072,-864889.39038902,-5.7031860614602,-864995.60281348
